Fiey,Parole d'Orient
Peeters,RHPO
,RHR
Peeters,"Observations sur Ia Vie syriaque de Mar Aba", in RHPO
,Vita
,Liber Superiorum
Fiey,"Aones, Awua et Awgia (Eugene)"
Fiey,"Bar 'Eta"
Nau,"Résumé"
Grebaut,ROC
Kaufhold,Hugoye
Mingana,The Expositor
,OLP
Nau,"Littérature canonique"
Elie,Vita
Bardy,Sa vie
Nau,ROC
,Life of Yuḥanon of Tella
Chabot,Revue de l'Orient Latin
,PO
Bundy,Le Museon
Kugener,ROC
Fiey,"Saints"
Vööbus,Le Museon
Palmer,Parole d'Orient
Fiey,"Elam"
Sauget,BSCO
Peeters,"La légende de saint Jacques de Nisibe"
Chabot,"Vie du moine Rabban Youssef Busnaya"
Beulay,Parole d'Orient
Fiey,"Jean de Dailam et !'imbroglio de ses fondations"
Brock,Parole d'Orient
Beulay,"Précisions touchant l'identité et la biographie de Jean Saba de Dalyatha"
Fiey,Assyrie chretienne,
Kmosko,PS
Fiey,OS
,
Theodoret,Hist. eccl.
Fiey,Muséon
,BHO 12
Ebersolt,Orient et Occident
,Les Actes d'Adorhormizd
,Le Museon
John Chrysostom,Panegyrici in Babylam martyrem
Fiey,Le Museon
Tisserant,,DTC
Fiey,PdO 2
Peeters,AB 42
,Eliae epistula apologetica ad Leonum, Syncellum harranensem
,Qiṣṣat Mār Ilīyā
Moubarac,Opera Minora of L. Massignon
Garitte,AB
Kekelidze,
Theophylact Simocatta,Histoire ecclesiastique
,OCA
Chiesa,
Barsaum,Revue patriarcale
Garitte,Le Museon
Habbi,Saint Michael Monastery
Fiey,AB
Palladius,
Sergis,Panegyric
,BHG
,Eukosmia: studi miscellanei per il 75. di Vincenzo Poggi S.J.
,BSO
Corluy,AB
,Poem on him.
Fiey,Notes
Abbeloos,Acta
Duval,JA
,E. Key Fowden
Nau,Revue sémitique
van Esbroeck,,Le saint comme symbole
